Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
PRSS12	ENSG00000164099	OMIM	AR	Panc-AdenoCA	0.42	0.12	1.08	0.391	0.565	-	-	-	-	-	0.42	0.12	1.08	0.391	0.571
PRSS56	ENSG00000237412	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.42	0.36	-0.26	0.819	0.849	0.84	0.36	0.34	0.726	0.795
PYGM	ENSG00000068976	OMIM	AR	Panc-AdenoCA	0.42	0.16	0.75	0.535	0.585	0.84	0.20	1.08	0.293	0.443	0.84	0.20	1.08	0.293	0.434
RDH12	ENSG00000139988	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	0.00	0.20	-0.52	0.739	0.802	0.00	0.20	-0.52	0.739	0.800
RDH5	ENSG00000135437	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889
RGL3	ENSG00000205517	SOD	Not OMIM	Panc-AdenoCA	0.42	0.16	0.75	0.535	0.585	-	-	-	-	-	0.42	0.16	0.75	0.535	0.602
RNF213	ENSG00000173821	SOD	Not OMIM	Panc-AdenoCA	0.00	0.12	0.07	0.966	0.966	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
RORA	ENSG00000069667	OMIM	AD	Panc-AdenoCA	0.42	0.20	0.49	0.681	0.728	-	-	-	-	-	0.42	0.20	0.49	0.681	0.746
RORC	ENSG00000143365	OMIM	AR	Panc-AdenoCA	0.00	0.12	0.07	0.966	0.966	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
RP1L1	ENSG00000183638	OMIM	AD	Panc-AdenoCA	0.42	0.36	-0.26	0.819	0.837	-	-	-	-	-	0.42	0.36	-0.26	0.819	0.847
RPGRIP1	ENSG00000092200	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966	0.00	0.16	-0.26	0.872	0.889
RTN4R	ENSG00000040608	OMIM	AD	Panc-AdenoCA	-	-	-	-	-	0.00	0.24	-0.74	0.630	0.708	0.00	0.24	-0.74	0.630	0.692
RYR1	ENSG00000196218	OMIM	AD	Panc-AdenoCA	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966	0.00	0.12	0.07	0.966	0.966
SCO2	ENSG00000130489	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966	0.00	0.12	0.07	0.966	0.966
SERPINA1	ENSG00000197249	CPG	Not OMIM	Panc-AdenoCA	-	-	-	-	-	0.84	0.12	1.67	0.132	0.212	0.84	0.12	1.67	0.132	0.211
SERPINC1	ENSG00000117601	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	0.84	0.04	2.67	0.043	0.083	0.84	0.04	2.67	0.043	0.084
SERPIND1	ENSG00000099937	OMIM	AD	Panc-AdenoCA	-	-	-	-	-	0.84	0.20	1.08	0.293	0.443	0.84	0.20	1.08	0.293	0.434
SETD2	ENSG00000181555	OMIM	AD	Panc-AdenoCA	0.00	0.12	0.07	0.966	0.966	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
SGCA	ENSG00000108823	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889	0.00	0.16	-0.26	0.872	0.889
SGSH	ENSG00000181523	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
SHPK	ENSG00000197417	OMIM	AR	Panc-AdenoCA	0.00	0.16	-0.26	0.872	0.883	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889
SI	ENSG00000090402	OMIM	AR	Panc-AdenoCA	0.84	0.04	2.67	0.043	0.083	1.68	0.08	2.84	0.007	0.015	2.10	0.08	3.11	0.002	0.005
SIAE	ENSG00000110013	OMIM	Other	Panc-AdenoCA	-	-	-	-	-	0.00	0.24	-0.74	0.630	0.708	0.00	0.24	-0.74	0.630	0.692
SLC10A2	ENSG00000125255	OMIM	AR	Panc-AdenoCA	0.42	0.16	0.75	0.535	0.585	-	-	-	-	-	0.42	0.16	0.75	0.535	0.602
SLC12A3	ENSG00000070915	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.84	0.08	2.08	0.078	0.132	0.84	0.08	2.08	0.078	0.131
SLC17A5	ENSG00000119899	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966	0.00	0.12	0.07	0.966	0.966
SLC17A9	ENSG00000101194	OMIM	AD	Panc-AdenoCA	0.00	0.28	-0.94	0.541	0.585	-	-	-	-	-	0.00	0.28	-0.94	0.541	0.602
SLC26A2	ENSG00000155850	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.28	-0.94	0.541	0.618	0.00	0.28	-0.94	0.541	0.602
SLC26A4	ENSG00000091137	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.84	0.04	2.67	0.043	0.083	0.84	0.04	2.67	0.043	0.084
SLC2A9	ENSG00000109667	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889	0.00	0.16	-0.26	0.872	0.889
SLC3A1	ENSG00000138079	OMIM	ADAR	Panc-AdenoCA	0.84	0.04	2.67	0.043	0.083	-	-	-	-	-	0.84	0.08	2.08	0.078	0.131
SLC6A19	ENSG00000174358	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.84	0.16	1.34	0.205	0.317	0.84	0.20	1.08	0.293	0.434
SLC7A9	ENSG00000021488	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	0.84	0.20	1.08	0.293	0.443	0.84	0.20	1.08	0.293	0.434
SPG7	ENSG00000197912	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889	0.00	0.16	-0.26	0.872	0.889
SPTA1	ENSG00000163554	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.20	-0.52	0.739	0.802	0.42	0.20	0.49	0.681	0.746
SRGAP1	ENSG00000196935	OMIM	AD	Panc-AdenoCA	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966	0.00	0.12	0.07	0.966	0.966
SSC5D	ENSG00000179954	SOD	Not OMIM	Panc-AdenoCA	0.84	0.04	2.67	0.043	0.083	-	-	-	-	-	0.84	0.04	2.67	0.043	0.084
TBXAS1	ENSG00000059377	OMIM	ADAR	Panc-AdenoCA	0.42	0.12	1.08	0.391	0.565	-	-	-	-	-	0.42	0.12	1.08	0.391	0.571
TCHH	ENSG00000159450	OMIM	AR	Panc-AdenoCA	1.68	0.16	2.10	0.023	0.045	-	-	-	-	-	1.68	0.16	2.10	0.023	0.045
TCL1A	ENSG00000100721	SOD	Not OMIM	Panc-AdenoCA	0.00	0.12	0.07	0.966	0.966	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
TDRD9	ENSG00000156414	OMIM	AR	Panc-AdenoCA	0.42	0.08	1.49	0.259	0.379	-	-	-	-	-	0.42	0.08	1.49	0.259	0.385
TET2	ENSG00000168769	OMIM	Other	Panc-AdenoCA	0.42	0.12	1.08	0.391	0.565	-	-	-	-	-	0.42	0.12	1.08	0.391	0.571
TEX11	ENSG00000120498	OMIM	Other	Panc-AdenoCA	-	-	-	-	-	1.26	0.08	2.51	0.024	0.047	1.26	0.08	2.51	0.024	0.047
TEX15	ENSG00000133863	OMIM	AR	Panc-AdenoCA	0.00	0.20	-0.52	0.739	0.787	-	-	-	-	-	0.00	0.20	-0.52	0.739	0.800
TF	ENSG00000091513	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.42	0.36	-0.26	0.819	0.849	0.42	0.36	-0.26	0.819	0.847
TGFBI	ENSG00000120708	OMIM	AD	Panc-AdenoCA	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889	0.00	0.16	-0.26	0.872	0.889
TGM1	ENSG00000092295	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.24	-0.74	0.630	0.708	0.00	0.24	-0.74	0.630	0.692
TGM5	ENSG00000104055	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.16	-0.26	0.872	0.889	0.00	0.16	-0.26	0.872	0.889
TMEM8C	ENSG00000187616	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.24	-0.74	0.630	0.708	0.00	0.24	-0.74	0.630	0.692
TMPRSS3	ENSG00000160183	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.20	-0.52	0.739	0.802	0.00	0.20	-0.52	0.739	0.800
TMPRSS6	ENSG00000187045	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966	0.00	0.12	0.07	0.966	0.966
TNNI3K	ENSG00000116783	OMIM	AD	Panc-AdenoCA	0.42	0.12	1.08	0.391	0.565	-	-	-	-	-	0.42	0.12	1.08	0.391	0.571
TPH2	ENSG00000139287	OMIM	Other	Panc-AdenoCA	-	-	-	-	-	0.42	0.08	1.49	0.259	0.394	0.42	0.08	1.49	0.259	0.385
TPO	ENSG00000115705	OMIM	AR	Panc-AdenoCA	0.84	0.08	2.08	0.078	0.128	0.42	0.12	1.08	0.391	0.587	0.84	0.20	1.08	0.293	0.434
TREM2	ENSG00000095970	OMIM	Other	Panc-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
TRIOBP	ENSG00000100106	OMIM	AR	Panc-AdenoCA	0.42	0.08	1.49	0.259	0.379	-	-	-	-	-	0.42	0.08	1.49	0.259	0.385
TRPM1	ENSG00000134160	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.42	0.12	1.08	0.391	0.571
TRPM4	ENSG00000130529	OMIM	AD	Panc-AdenoCA	0.42	0.08	1.49	0.259	0.379	-	-	-	-	-	0.42	0.08	1.49	0.259	0.385
TSPEAR	ENSG00000175894	OMIM	AR	Panc-AdenoCA	0.42	0.24	0.26	0.821	0.837	-	-	-	-	-	0.42	0.24	0.26	0.821	0.847
TUBB3	ENSG00000198211	OMIM	AD	Panc-AdenoCA	0.84	0.28	0.66	0.502	0.585	-	-	-	-	-	0.84	0.28	0.66	0.502	0.602
TYR	ENSG00000077498	OMIM	AD	Panc-AdenoCA	-	-	-	-	-	0.00	0.20	-0.52	0.739	0.802	0.00	0.24	-0.74	0.630	0.692
UGT2B17	ENSG00000197888	OMIM	Other	Panc-AdenoCA	0.84	0.16	1.34	0.205	0.305	-	-	-	-	-	0.84	0.16	1.34	0.205	0.310
UNC80	ENSG00000144406	OMIM	AR	Panc-AdenoCA	-	-	-	-	-	0.42	0.12	1.08	0.391	0.587	0.42	0.12	1.08	0.391	0.571
USH2A	ENSG00000042781	OMIM	AR	Panc-AdenoCA	0.84	0.12	1.67	0.132	0.206	0.84	0.12	1.67	0.132	0.212	0.84	0.20	1.08	0.293	0.434
USP45	ENSG00000123552	OMIM	AR	Panc-AdenoCA	0.84	0.56	-0.26	0.779	0.796	-	-	-	-	-	0.84	0.56	-0.26	0.779	0.807
VWF	ENSG00000110799	OMIM	ADAR	Panc-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.07	0.966	0.966
XBP1	ENSG00000100219	OMIM	Other	Panc-AdenoCA	0.00	0.20	-0.52	0.739	0.787	-	-	-	-	-	0.00	0.20	-0.52	0.739	0.800
ABCA3	ENSG00000167972	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	1.43	0.16	1.98	0.043	0.083	1.43	0.16	1.98	0.043	0.083
ABCA4	ENSG00000198691	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.36	-1.06	0.486	0.553	0.00	0.36	-1.06	0.486	0.541
ABCA7	ENSG00000064687	OMIM	AD	Prost-AdenoCA	0.48	0.28	0.28	0.809	0.832	-	-	-	-	-	0.48	0.28	0.28	0.809	0.840
ABCB6	ENSG00000115657	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
ABCC11	ENSG00000121270	OMIM	AD	Prost-AdenoCA	0.95	0.12	1.88	0.090	0.147	-	-	-	-	-	0.95	0.12	1.88	0.090	0.150
ABCC2	ENSG00000023839	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
ABCC6	ENSG00000091262	OMIM	AR	Prost-AdenoCA	0.48	0.16	0.96	0.429	0.512	0.95	0.24	1.06	0.289	0.442	0.95	0.28	0.87	0.377	0.524
ABCG2	ENSG00000118777	OMIM	AD	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
ABCG8	ENSG00000143921	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
ACSL3	ENSG00000123983	SOD	Not OMIM	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
ACSM3	ENSG00000005187	OMIM	Other	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
ADAM10	ENSG00000137845	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.761	0.00	0.24	-0.54	0.728	0.757
ADAMTS13	ENSG00000160323	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.48	0.16	0.96	0.429	0.524
ADAMTSL4	ENSG00000143382	OMIM	AR	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	0.00	0.12	0.28	0.865	0.875	0.48	0.12	1.28	0.307	0.459
AGBL1	ENSG00000166748	OMIM	AD	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
AK7	ENSG00000140057	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.16	0.96	0.429	0.536	0.48	0.16	0.96	0.429	0.524
ALDOB	ENSG00000136872	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.48	-1.44	0.337	0.510	0.00	0.48	-1.44	0.337	0.504
ALKBH8	ENSG00000137760	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
ALOXE3	ENSG00000179148	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
ANGPTL4	ENSG00000167772	OMIM	AD	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057
ANO5	ENSG00000171714	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.95	0.12	1.88	0.090	0.150	0.95	0.12	1.88	0.090	0.150
ASB10	ENSG00000146926	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	1.90	0.28	1.62	0.051	0.098	1.90	0.28	1.62	0.051	0.098
ASS1	ENSG00000130707	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
ATM	ENSG00000149311	CPG	Not OMIM	Prost-AdenoCA	0.95	0.12	1.88	0.090	0.147	0.95	0.04	2.88	0.029	0.057	0.95	0.12	1.88	0.090	0.150
ATP7B	ENSG00000123191	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
BBS1	ENSG00000174483	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	1.43	0.24	1.49	0.103	0.170	1.43	0.24	1.49	0.103	0.171
BCHE	ENSG00000114200	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	0.95	0.20	1.29	0.210	0.322	0.95	0.20	1.29	0.210	0.319
BTD	ENSG00000169814	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
C7	ENSG00000112936	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.869	0.00	0.20	-0.31	0.841	0.867
C8B	ENSG00000021852	OMIM	AR	Prost-AdenoCA	0.48	0.16	0.96	0.429	0.512	0.48	0.16	0.96	0.429	0.536	0.48	0.16	0.96	0.429	0.524
CAPN3	ENSG00000092529	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
CBS	ENSG00000160200	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.00	0.16	-0.05	0.976	0.976
CCDC73	ENSG00000186714	SOD	Not OMIM	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
CCT5	ENSG00000150753	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
CENPJ	ENSG00000151849	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
CFHR5	ENSG00000134389	OMIM	AD	Prost-AdenoCA	1.43	0.08	2.72	0.014	0.028	-	-	-	-	-	1.43	0.08	2.72	0.014	0.028
CFTR	ENSG00000001626	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.48	0.12	1.28	0.307	0.465	0.48	0.12	1.28	0.307	0.459
CLCN1	ENSG00000188037	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.48	0.12	1.28	0.307	0.465	0.48	0.16	0.96	0.429	0.524
CLTCL1	ENSG00000070371	SOD	Not OMIM	Prost-AdenoCA	0.48	0.20	0.69	0.557	0.604	-	-	-	-	-	0.48	0.20	0.69	0.557	0.618
CNGA1	ENSG00000198515	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.00	0.16	-0.05	0.976	0.976
CNGA3	ENSG00000144191	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.12	1.28	0.307	0.459
CNTRL	ENSG00000119397	SOD	Not OMIM	Prost-AdenoCA	0.95	0.08	2.29	0.053	0.102	-	-	-	-	-	0.95	0.08	2.29	0.053	0.101
COASY	ENSG00000068120	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
CYP24A1	ENSG00000019186	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
DDX41	ENSG00000183258	OMIM	AD	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
DMGDH	ENSG00000132837	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
DNAH1	ENSG00000114841	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.28	-0.73	0.634	0.714	0.00	0.28	-0.73	0.634	0.701
DNAH9	ENSG00000007174	OMIM	AR	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
DOCK6	ENSG00000130158	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057
DYNC2H1	ENSG00000187240	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
DYSF	ENSG00000135636	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
ECT2L	ENSG00000203734	SOD	Not OMIM	Prost-AdenoCA	1.90	0.44	1.03	0.185	0.283	-	-	-	-	-	1.90	0.44	1.03	0.185	0.287
EIF2B5	ENSG00000145191	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.12	1.28	0.307	0.465	0.48	0.12	1.28	0.307	0.459
EPX	ENSG00000121053	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
ERCC2	ENSG00000104884	SOD	Not OMIM	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.95	0.08	2.29	0.053	0.101
EYS	ENSG00000188107	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
FANCM	ENSG00000187790	CPG	Not OMIM	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
FGG	ENSG00000171557	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	1.90	0.76	0.28	0.701	0.737	1.90	0.76	0.28	0.701	0.732
FIG4	ENSG00000112367	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.95	0.16	1.55	0.143	0.226	0.95	0.16	1.55	0.143	0.223
FKBP14	ENSG00000106080	OMIM	AR	Prost-AdenoCA	0.48	0.20	0.69	0.557	0.604	0.48	0.20	0.69	0.557	0.631	0.48	0.20	0.69	0.557	0.618
FKRP	ENSG00000181027	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
FLG	ENSG00000143631	OMIM	AD	Prost-AdenoCA	0.00	0.20	-0.31	0.841	0.861	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.867
FMO3	ENSG00000007933	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
FOXE1	ENSG00000178919	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
FREM1	ENSG00000164946	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
FUK	ENSG00000157353	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
GAA	ENSG00000171298	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.12	1.28	0.307	0.465	0.48	0.12	1.28	0.307	0.459
GALNS	ENSG00000141012	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	1.90	0.24	1.82	0.033	0.064	1.90	0.24	1.82	0.033	0.064
GAS2L2	ENSG00000132139	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.48	0.12	1.28	0.307	0.459
GCKR	ENSG00000084734	OMIM	Other	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
GJB2	ENSG00000165474	CPG	Not OMIM	Prost-AdenoCA	-	-	-	-	-	1.90	0.20	2.04	0.021	0.041	1.90	0.20	2.04	0.021	0.040
GJB4	ENSG00000189433	OMIM	AD	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
GLB1	ENSG00000170266	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.00	0.16	-0.05	0.976	0.976
GPR68	ENSG00000119714	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
GUCA1B	ENSG00000112599	OMIM	Other	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
GYG1	ENSG00000163754	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
HAL	ENSG00000084110	OMIM	ADAR	Prost-AdenoCA	0.48	0.20	0.69	0.557	0.604	-	-	-	-	-	0.48	0.20	0.69	0.557	0.618
HGD	ENSG00000113924	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.761	0.00	0.24	-0.54	0.728	0.757
HLA-C	ENSG00000204525	OMIM	Other	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
HPS1	ENSG00000107521	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
HTRA1	ENSG00000166033	OMIM	ADAR	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
HYDIN	ENSG00000157423	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
IFT57	ENSG00000114446	OMIM	AR	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057
IGF2	ENSG00000167244	OMIM	AD	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
KANK1	ENSG00000107104	OMIM	Other	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
KIAA0586	ENSG00000100578	OMIM	AR	Prost-AdenoCA	0.00	0.24	-0.54	0.728	0.749	0.00	0.20	-0.31	0.841	0.869	0.00	0.24	-0.54	0.728	0.757
KLHL6	ENSG00000172578	SOD	Not OMIM	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
KRT4	ENSG00000170477	OMIM	AD	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
LARS2	ENSG00000011376	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
LDLR	ENSG00000130164	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.48	0.28	0.28	0.809	0.844	0.48	0.28	0.28	0.809	0.840
LEPR	ENSG00000116678	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.00	0.16	-0.05	0.976	0.976
LIPA	ENSG00000107798	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
LIPT1	ENSG00000144182	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
LRIG2	ENSG00000198799	OMIM	AR	Prost-AdenoCA	0.00	0.24	-0.54	0.728	0.749	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.757
LRP2	ENSG00000081479	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
LY75-CD302	ENSG00000248672	SOD	Not OMIM	Prost-AdenoCA	0.00	0.24	-0.54	0.728	0.749	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.757
LZTR1	ENSG00000099949	OMIM	AD	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057
